,LTP,1F31,P66014,BIRMINGHAM INTERNATIONAL,LIVERPOOL LIME STREET,   ,11 ,   ,07:32:00,07:34:00,07:34:00,LM,06:18:00,08:21:00
TB,LTP,1G93,P16325,CREWE,BIRMINGHAM INTERNATIONAL,,12 ,   ,,07:34:00,07:34:00,AW,07:34:00,09:48:00
,LTP,1R20,Y81816,GLASGOW CENTRAL,LONDON EUSTON,   ,UFL,   ,,07:36:00,07:36:00,VT,04:28:00,09:07:00
TF,LTP,2U19,P68790,NORTHAMPTON,CREWE,   ,4  ,,07:38:00,,07:38:00,LM,05:45:00,07:38:00
TF,LTP,2A91,Y51021,LIVERPOOL LIME STREET,CREWE,   ,1  ,,07:42:00,,07:42:00,NT,05:24:00,07:42:00
,LTP,****,H36209,CREWE COAL SIDINGS (DRS),VALLEY NUCLEAR ELECTRIC,   ,UDL,   ,,07:43:00,07:43:00,ZZ,07:31:00,09:58:00
,LTP,1H14,C11333,BIRMINGHAM NEW STREET,MANCHESTER PICCADILLY,   ,6  ,   ,07:41:30,07:44:30,07:44:30,XC,06:53:00,08:23:00
,LTP,****,H32405,DERBY R.T.C.(NETWORK RAIL),EDINBURGH,   ,DFL,   ,,07:46:00,07:46:00,ZZ,06:15:00,13:16:00
,LTP,****,H32407,DERBY R.T.C.(NETWORK RAIL),EDINBURGH,   ,DFL,   ,,07:46:00,07:46:00,ZZ,06:15:00,13:16:00
TB,LTP,2H42,Y52766,CREWE,MANCHESTER PICCADILLY,,1  ,   ,,07:48:00,07:48:00,NT,07:48:00,08:43:00
,VAR,1L66,P66151,LIVERPOOL LIME STREET,BIRMINGHAM NEW STREET,   ,5  ,   ,07:49:00,07:51:00,07:51:00,LM,07:04:00,08:48:00
TB,LTP,1U22,P66275,CREWE,LONDON EUSTON,,4  ,   ,,07:55:00,07:55:00,LM,07:55:00,10:29:00
,LTP,1R24,Y81819,HOLYHEAD,LONDON EUSTON,   ,11 ,FL ,07:54:00,07:58:00,07:58:00,VT,05:51:00,09:41:00
TF,LTP,1K01,C60351,DERBY,CREWE,   ,3  ,,07:59:00,,07:59:00,EM,06:40:00,07:59:00
,LTP,1F32,P66016,BIRMINGHAM NEW STREET,LIVERPOOL LIME STREET,   ,6  ,FL ,07:56:00,07:59:30,07:59:30,LM,07:01:00,08:44:00
,LTP,9A31,Y82309,LANCASTER,LONDON EUSTON,   ,5  ,   ,07:58:00,08:01:00,08:01:00,VT,06:58:00,10:32:00
TF,LTP,2K31,Y53160,MANCHESTER PICCADILLY,CREWE,   ,1  ,,08:01:00,,08:01:00,NT,07:01:00,08:01:00
TB,LTP,1K04,C60360,CREWE,DERBY,,3  ,   ,,08:07:00,08:07:00,EM,08:07:00,09:24:00
,VAR,1V35,P16525,MANCHESTER PICCADILLY,CARMARTHEN,   ,6  ,   ,08:05:00,08:09:30,08:09:30,AW,07:30:00,12:24:00
,LTP,1S39,Y81834,BIRMINGHAM NEW STREET,GLASGOW CENTRAL,   ,11 ,   ,08:08:00,08:10:00,08:10:00,VT,07:16:00,11:15:00
,LTP,1H61,Y81685,LONDON EUSTON,MANCHESTER PICCADILLY,   ,5  ,   ,08:11:00,08:13:00,08:13:00,VT,06:36:00,08:46:00
TB,LTP,2F27,Y52285,CREWE,LIVERPOOL LIME STREET,,1  ,   ,,08:16:00,08:16:00,NT,08:16:00,10:28:00
,LTP,1L67,P66153,LIVERPOOL LIME STREET,BIRMINGHAM NEW STREET,   ,6  ,SL ,08:16:00,08:18:00,08:18:00,LM,07:34:00,09:18:00
TF,LTP,1K05,P16443,LLANDUDNO,CREWE,   ,10 ,,08:19:00,,08:19:00,AW,06:46:00,08:19:00
,LTP,1P91,Y81783,LONDON EUSTON,BLACKPOOL NORTH,   ,DFL,   ,,08:23:00,08:23:00,VT,06:46:00,09:37:00
TB,LTP,1D52,P16175,CREWE,CHESTER,,10 ,   ,,08:23:00,08:23:00,AW,08:23:00,08:46:00
,LTP,1R27,Y81822,LIVERPOOL LIME STREET,LONDON EUSTON,   ,5  ,   ,08:21:00,08:23:30,08:23:30,VT,07:48:00,10:00:00
,LTP,1W44,P16613,CARDIFF CENTRAL,MANCHESTER PICCADILLY,   ,6  ,   ,08:24:00,08:28:00,08:28:00,AW,05:39:00,09:08:00
,LTP,1R28,Y81823,MANCHESTER PICCADILLY,LONDON EUSTON,   ,1  ,FL ,08:27:00,08:29:30,08:29:30,VT,07:55:00,10:16:00
,LTP,1F33,P66018,WALSALL,LIVERPOOL LIME STREET,   ,11 ,   ,08:29:30,08:32:00,08:32:00,LM,07:01:00,09:11:00
TF,LTP,2U21,P68792,NORTHAMPTON,CREWE,   ,4  ,,08:34:00,,08:34:00,LM,06:35:00,08:34:00
TF,STP,5Z20,S00471,ALLERTON DEPOT,CREWE,   ,DFL,,08:36:00,,08:36:00,NT,07:38:00,08:36:00
,LTP,1M06,Y81736,GLASGOW CENTRAL,LONDON EUSTON,   ,UFL,   ,,08:38:30,08:38:30,VT,05:40:00,10:09:00
TF,LTP,2A92,Y51025,LIVERPOOL LIME STREET,CREWE,   ,1  ,,08:42:00,,08:42:00,NT,06:28:00,08:42:00
,LTP,1F11,Y81550,LONDON EUSTON,LIVERPOOL LIME STREET,   ,6  ,   ,08:41:00,08:43:30,08:43:30,VT,07:07:00,09:20:00
TB,STP,5Z21,S00473,CREWE,LIVERPOOL SOUTH PW HL,,DFL,SL ,,08:45:00,08:45:00,NT,08:45:00,09:24:30
TB,LTP,2H43,Y52776,CREWE,MANCHESTER PICCADILLY,,1  ,   ,,08:48:00,08:48:00,NT,08:48:00,09:43:00
,LTP,1L68,P66155,LIVERPOOL LIME STREET,BIRMINGHAM NEW STREET,   ,5  ,   ,08:47:00,08:49:00,08:49:00,LM,08:04:00,09:48:00
TF,LTP,2M04,P17814,LLANDRINDOD,CREWE,   ,7  ,,08:50:00,,08:50:00,AW,06:18:00,08:50:00
,LTP,1D81,Y81519,LONDON EUSTON,CHESTER,   ,11 ,   ,08:47:30,08:50:30,08:50:30,VT,07:10:00,09:11:00
,LTP,1A13,Y81244,HOLYHEAD,LONDON EUSTON,   ,6  ,SL ,08:54:00,08:57:00,08:57:00,VT,06:55:00,10:37:00
,LTP,1F34,P66020,WALSALL,LIVERPOOL LIME STREET,   ,11 ,SL ,08:55:30,08:57:30,08:57:30,LM,07:30:00,09:42:00
,LTP,1S42,Y81836,LONDON EUSTON,GLASGOW CENTRAL,   ,DFL,   ,,08:59:00,08:59:00,VT,07:30:00,11:59:00
TF,LTP,1K03,C60357,DERBY,CREWE,   ,3  ,,08:59:00,,08:59:00,EM,07:41:00,08:59:00
TF,LTP,2K32,Y53163,MANCHESTER PICCADILLY,CREWE,   ,1  ,,09:00:00,,09:00:00,NT,08:02:00,09:00:00
,LTP,****,H32667,SHREWSBURY COLEHAM SS,SHREWSBURY COLEHAM SS,   ,12 ,   ,08:36:30,09:01:00,09:01:00,ZZ,21:20:00,16:32:00
